product_id,name,description,price,category_id,stock_qty
1,Compact Sleeping Bag,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",22.84,1,187
2,Deluxe Puzzle Set,"Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",433.57,5,86
3,Deluxe T-Shirt,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",126.76,1,65
4,Basic Sci-Fi Epic,Praesent id massa id nisl venenatis lacinia.,190.03,1,13
5,Deluxe Wall Art,In hac habitasse platea dictumst.,348.98,3,21
6,Eco Remote Car,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.",114.05,2,24
7,Deluxe Puzzle Set,"Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",411.29,8,147
8,Eco Smartphone,Aliquam quis turpis eget elit sodales scelerisque.,310.13,3,21
9,Basic Tennis Racket,Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.,179.79,5,113
10,Compact Sneakers,Quisque id justo sit amet sapien dignissim vestibulum.,145.78,2,199
11,Premium Wallet,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,442.94,1,47
