review_id,customer_id,product_id,rating,review_text,review_date
1,75,8,2,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.,2024-05-19
2,6,163,1,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,2023-12-16
3,20,183,1,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo.",2021-12-25
4,39,104,3,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,2022-01-16
5,71,46,3,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",2022-04-19
6,23,16,2,Praesent blandit. Nam nulla.,2023-02-08
7,17,23,5,Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.,2021-09-06
8,44,72,5,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",2021-10-09
9,31,112,2,Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.,2022-09-11
10,17,131,4,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",2023-06-03
11,87,163,1,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.,2022-08-28
12,19,117,3,Proin eu mi.,2022-01-16
13,71,53,3,Quisque id justo sit amet sapien dignissim vestibulum.,2024-07-07
14,70,118,1,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,2022-02-25
15,16,157,2,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",2021-09-04
16,81,132,1,Ut at dolor quis odio consequat varius. Integer ac leo.,2022-04-23
17,77,70,1,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,2021-05-27
18,24,83,1,In congue.,2022-03-04
19,62,133,1,"Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",2024-10-11
20,33,146,4,Vivamus vel nulla eget eros elementum pellentesque.,2023-09-06
21,92,154,4,Curabitur in libero ut massa volutpat convallis.,2022-04-20
22,6,169,1,Nulla mollis molestie lorem. Quisque ut erat.,2023-10-19
23,55,11,5,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",2023-10-12
24,48,159,3,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",2023-09-06
25,74,49,5,Nullam molestie nibh in lectus. Pellentesque at nulla.,2021-10-22
26,49,87,1,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",2023-04-21
27,72,186,1,Donec semper sapien a libero. Nam dui.,2021-07-28
28,35,66,4,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",2022-06-01
29,88,164,3,Praesent blandit. Nam nulla.,2021-03-06
30,25,77,2,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,2024-11-03
31,76,15,4,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",2023-06-23
32,92,168,1,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.",2022-12-20
33,22,110,2,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",2024-04-08
34,82,155,1,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",2023-12-27
35,55,172,5,Duis consequat dui nec nisi volutpat eleifend.,2024-12-04
36,78,181,3,Suspendisse potenti.,2024-06-07
37,95,102,5,Nullam varius. Nulla facilisi.,2023-11-27
38,29,97,4,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.,2022-06-18
39,42,68,3,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.",2024-12-05
40,66,16,4,Sed ante. Vivamus tortor.,2024-08-10
41,34,15,2,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",2024-04-12
42,47,4,3,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.,2022-08-15
43,79,171,1,Fusce consequat.,2023-12-20
44,66,170,3,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",2023-10-01
45,13,172,5,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero.",2023-12-10
46,21,186,3,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",2024-07-04
47,29,60,3,Duis mattis egestas metus.,2023-01-23
48,11,105,2,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",2024-12-18
49,77,68,3,Nulla ut erat id mauris vulputate elementum.,2023-02-24
50,15,41,2,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",2023-02-28
51,49,95,5,"Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",2024-06-15
52,10,32,4,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",2021-09-10
53,73,126,3,Vestibulum rutrum rutrum neque.,2024-11-10
54,90,48,5,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",2023-10-27
55,29,122,4,Nullam varius.,2024-04-05
56,89,55,2,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",2021-05-07
57,22,158,1,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,2024-06-07
58,42,125,1,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",2024-05-20
59,10,105,5,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",2022-01-10
60,80,30,4,"Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",2024-08-29
61,79,127,1,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.,2021-05-24
62,15,126,4,Fusce consequat. Nulla nisl.,2021-03-05
63,70,39,3,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,2023-11-10
64,93,25,2,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",2024-08-05
65,72,6,4,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum.",2021-04-12
66,73,182,2,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat.",2022-05-14
67,77,77,3,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.,2022-12-27
68,95,127,2,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",2023-03-22
69,59,199,1,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",2023-05-05
70,67,107,2,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.",2023-05-27
71,50,192,3,Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,2024-04-21
72,10,63,5,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",2022-05-08
73,75,42,1,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",2024-08-29
74,25,175,2,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",2021-01-13
75,51,191,5,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.",2021-07-25
76,29,139,4,Aenean lectus. Pellentesque eget nunc.,2024-03-23
77,61,4,4,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,2022-11-08
78,20,170,5,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque.",2024-09-19
79,77,151,3,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",2022-03-09
80,14,88,4,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,2021-04-22
81,72,200,4,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",2022-12-26
82,65,22,4,Integer ac neque.,2023-10-12
83,23,186,2,Curabitur at ipsum ac tellus semper interdum.,2024-04-25
84,63,41,2,Morbi a ipsum. Integer a nibh.,2021-03-05
85,74,177,1,Praesent id massa id nisl venenatis lacinia.,2021-09-09
86,8,159,3,"Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",2023-10-04
87,81,185,1,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",2023-03-20
88,41,122,3,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",2022-05-20
